Make,Transmission,Engine Type,Engine Capacity(CC),Mileage(kms),Year,Price,Model
Range,Automatic,Petrol,4200.0,140000,2009,8000000,Rover Sport
Toyota,Automatic,Petrol,1500.0,90000,1994,1250000,Corolla 
Suzuki,Manual,Petrol,1000.0,100000,1984,770000,Sj410 
Suzuki,Manual,Petrol,800.0,94000,2016,970000,Bolan 
Toyota,Automatic,Petrol,2700.0,53000,2015,15500000,Prado 
Suzuki,Manual,Petrol,1000.0,43000,2018,1650000,Wagon R
Honda,Manual,Petrol,1800.0,132000,2011,1830000,Civic Reborn
Suzuki,Manual,Petrol,1000.0,100000,2010,850000,Alto 
Suzuki,Manual,Petrol,800.0,62000,2012,730000,Mehran 
Toyota,Automatic,Petrol,1000.0,23000,2019,2650000,Passo 
Nissan,Automatic,Petrol,1500.0,71600,2016,2260000,Juke 
Suzuki,Automatic,Petrol,660.0,65000,2007,1080000,Cervo 
Nissan,Automatic,Petrol,660.0,40000,2016,1590000,Clipper 
Toyota,Automatic,Petrol,1000.0,234000,2005,1375000,Vitz 
Toyota,Automatic,Petrol,1000.0,100000,2011,1725000,Vitz 
Honda,Automatic,Petrol,1600.0,170800,2005,1425000,Civic Eagle
Toyota,Automatic,Petrol,1000.0,27433,2018,2850000,Vitz 
Toyota,Automatic,Petrol,1000.0,34134,2018,2800000,Vitz 
Toyota,Automatic,Petrol,1000.0,64746,2018,2800000,Vitz 
Honda,Automatic,Hybrid,1300.0,101500,2011,1714999,Fit 
Toyota,Automatic,Petrol,1000.0,17812,2018,2800000,Vitz 
Toyota,Automatic,Petrol,1000.0,34481,2018,2750000,Vitz 
Toyota,Automatic,Petrol,1000.0,12041,2019,2725000,Passo 
Toyota,Automatic,Petrol,1000.0,30090,2018,2650000,Passo 
Toyota,Automatic,Petrol,1000.0,15003,2018,2600000,Passo 
Toyota,Automatic,Petrol,1500.0,19404,2018,6600000,Premio 
Nissan,Automatic,Hybrid,1200.0,38187,2018,3200000,Note 
Toyota,Automatic,Hybrid,1500.0,123183,2016,3600000,Sienta 
Suzuki,Manual,Petrol,1000.0,100000,2013,1125000,Cultus 
Toyota,Automatic,Petrol,2000.0,86000,2005,2450000,Premio 
KIA,Manual,Petrol,1000.0,26000,2020,2195000,Picanto 
Honda,Manual,Petrol,1500.0,28000,2016,2050000,City 
Suzuki,Manual,CNG,1000.0,87000,2006,750000,Alto 
Hyundai,Manual,Petrol,1000.0,100000,2021,550000,Santro 
Honda,Manual,Petrol,1800.0,66000,2011,1550000,Civic Reborn
Suzuki,Manual,Petrol,1000.0,60000,2017,1200000,Cultus 
Mercedes,Automatic,Petrol,2600.0,168000,2005,3100000,Benz E
Toyota,Automatic,Petrol,1300.0,16000,2020,2725000,Yaris 
Toyota,Automatic,Petrol,4608.0,75000,2016,32700000,Land Cruiser
Honda,Automatic,Petrol,1800.0,83000,2018,3650000,Civic 
Honda,Automatic,Hybrid,1500.0,92000,2015,2700000,Fit 
Suzuki,Manual,Petrol,1000.0,79000,2017,1750000,Cultus 
Suzuki,Manual,Petrol,1300.0,100000,1990,650000,Margalla 
Honda,Automatic,Petrol,1500.0,41000,2018,3100000,BR-V 
Honda,Automatic,Petrol,1800.0,150000,2009,1675000,Civic Reborn
Suzuki,Manual,Petrol,1000.0,75000,2005,500000,Alto 
Suzuki,Automatic,Petrol,660.0,120000,2014,1550000,Hustler 
Honda,Automatic,Hybrid,1500.0,33000,2016,4500000,Vezel 
Suzuki,Manual,Petrol,800.0,100000,2011,600000,Mehran 
Honda,Manual,Petrol,1300.0,27000,2020,2650000,City 
Honda,Manual,Petrol,1300.0,60000,2018,2385000,City 
Toyota,Automatic,Hybrid,1500.0,15000,2016,3650000,Sienta 
Honda,Automatic,Hybrid,1500.0,40981,2016,4800000,Vezel 
Toyota,Automatic,Petrol,2700.0,23024,2018,21500000,Prado 
Honda,Automatic,Hybrid,1500.0,103287,2015,2950000,Freed 
Toyota,Automatic,Petrol,2700.0,11743,2018,24000000,Prado 
Honda,Automatic,Hybrid,1500.0,88000,2016,3250000,Freed 
Suzuki,Automatic,Petrol,660.0,72208,2017,1800000,Every 
Toyota,Automatic,Petrol,1000.0,18373,2018,2800000,Passo 
Honda,Automatic,Petrol,1500.0,54483,2015,4100000,Vezel 
Toyota,Automatic,Petrol,1000.0,30836,2018,2750000,Vitz 
Toyota,Automatic,Petrol,1000.0,23130,2018,2750000,Vitz 
Toyota,Automatic,Petrol,1000.0,49733,2018,2700000,Vitz 
Suzuki,Manual,Petrol,800.0,30000,2019,975000,Mehran 
Toyota,Automatic,Petrol,1800.0,72500,2014,3100000,Prius 
Suzuki,Manual,Petrol,1000.0,70000,2018,1700000,Wagon R
FAW,Manual,Petrol,1300.0,30000,2019,1500000,V2 
Toyota,Automatic,Petrol,1000.0,152000,2006,1600000,Vitz 
Suzuki,Automatic,Petrol,1000.0,35000,2018,1950000,Cultus 
Toyota,Manual,Petrol,1300.0,155000,2009,1700000,Corolla 
Honda,Manual,Petrol,1500.0,150000,2005,1050000,Civic Eagle
Mitsubishi,Manual,Petrol,1300.0,178300,2004,925000,Lancer 
Suzuki,Manual,CNG,1000.0,86389,2006,819999,Cultus 
Daihatsu,Automatic,Petrol,660.0,67000,2013,1350000,Mira 
Toyota,Automatic,Petrol,1800.0,51000,2019,3950000,Corolla 
Suzuki,Manual,Petrol,1000.0,80400,2010,800000,Cultus 
Mazda,Manual,Petrol,1300.0,60000,2003,1800000,RX8 
Toyota,Automatic,Petrol,1800.0,120000,2013,3150000,Prius 
Toyota,Automatic,Petrol,1300.0,78000,2006,1600000,Vitz 
Honda,Automatic,Petrol,1600.0,155000,2005,1425000,Civic Eagle
Toyota,Automatic,Petrol,1500.0,95000,2008,1670000,IST 
Toyota,Automatic,Petrol,1000.0,100000,2012,1800000,Vitz 
Toyota,Manual,Petrol,1300.0,200000,2014,2300000,Corolla 
Changan,Manual,Petrol,1000.0,22000,2021,1650000,Karvaan 
Toyota,Automatic,Petrol,1800.0,32000,2019,3925000,Corolla 
Suzuki,Automatic,Petrol,660.0,65107,2017,1800000,Every 
Toyota,Automatic,Petrol,1000.0,65911,2018,2800000,Vitz 
Honda,Automatic,Hybrid,1500.0,15745,2019,6700000,Insight 
Toyota,Automatic,Petrol,1600.0,89000,2012,2350000,Corolla 
Toyota,Automatic,Petrol,1000.0,32582,2018,2750000,Vitz 
Toyota,Automatic,Petrol,1300.0,39000,2019,3050000,Corolla 
Toyota,Automatic,Petrol,1000.0,49308,2014,1714999,Passo 
Toyota,Automatic,Petrol,1800.0,139000,2014,2800000,Corolla 
Honda,Automatic,Petrol,1800.0,31252,2017,3415000,Civic 
Toyota,Automatic,Petrol,1800.0,104287,2013,3100000,Prius Alpha
Toyota,Automatic,Petrol,1600.0,75000,2012,2400000,Corolla 
Toyota,Automatic,Petrol,4000.0,70000,2013,16500000,Prado 
Toyota,Automatic,Petrol,1800.0,70000,2015,2875000,Corolla 
Suzuki,Manual,Petrol,1000.0,40700,2021,1900000,Cultus 
Suzuki,Manual,Petrol,1000.0,73000,2009,819999,Cultus 
Honda,Automatic,Petrol,1800.0,24700,2019,4190000,Civic 
Honda,Automatic,Petrol,1800.0,63000,2013,2225000,Civic Rebirth
Toyota,Manual,Petrol,1300.0,55000,2017,2550000,Corolla 
Suzuki,Manual,Petrol,800.0,53000,2017,900000,Mehran 
Toyota,Manual,Petrol,1300.0,140000,2007,1245000,Corolla 9th
Mitsubishi,Manual,Petrol,1300.0,100000,2005,700000,Lancer 
Toyota,Automatic,Petrol,2700.0,50000,2004,6800000,Prado 120
Honda,Automatic,Petrol,1800.0,35000,2019,4100000,Civic 
Nissan,Automatic,Petrol,1200.0,45000,2018,3200000,Note 
Honda,Automatic,Hybrid,1500.0,50000,2016,2650000,Fit 
Honda,Automatic,Hybrid,1500.0,100000,2016,4300000,Vezel 
